x y z label
10 10 10 1
13 12 9 1
8 15 11 1
12 11 13 1
9 14 8 1
50 50 50 5
52 48 53 5
48 55 49 5
51 53 52 5
49 47 48 5
90 20 70 10
88 23 72 10
93 18 68 10
91 21 74 10
87 19 69 10
20 80 30 15
22 78 33 15
18 83 28 15
21 81 31 15
19 79 29 15
70 70 20 4
72 68 25 4
68 75 18 4
71 69 22 4
69 73 21 4
40 10 90 9
42 12 88 9
38 9 93 9
41 11 91 9
39 8 89 9
100 100 100 14
102 98 99 14
98 101 103 14
101 99 97 14
99 102 101 14
120 5 90 0
30 80 10 0
5 100 40 0
115 60 20 0
60 5 120 0
80 110 10 0
15 45 100 0
90 90 10 0
10 120 60 0
55 20 115 0
